[1, u'we', 12, 30, 15, 20, u'ABB 166']
[1, u'mo', 8, 30, 11, 20, u'MDCL 1008']
[1, u'we', 12, 30, 15, 20, u'MDCL 1008']
[2, u'mo', 8, 30, 11, 20, u'ETB 228']
[2, u'we', 12, 30, 15, 20, u'BSB 115']
[2, u'mo', 8, 30, 11, 20, u'ETB 237']
[2, u'we', 12, 30, 15, 30, u'MDCL 1008']
[3, u'tu', 19, 0, 22, 0, u'BSB B103']
[2, u'tu', 12, 30, 13, 20, u'BSB 147']
[2, u'we', 12, 30, 13, 20, u'BSB 147']
[2, u'fr', 12, 30, 13, 20, u'BSB 147']
[2, u'tu', 15, 30, 16, 20, u'BSB 147']
[2, u'we', 15, 30, 16, 20, u'BSB 147']
[2, u'fr', 15, 30, 16, 20, u'BSB 147']
[2, u'mo', 17, 30, 18, 20, u'BSB 147']
[2, u'we', 17, 30, 18, 20, u'BSB 147']
[2, u'th', 17, 30, 18, 20, u'BSB 147']
[1, u'mo', 10, 30, 11, 20, u'T13 125']
[1, u'th', 10, 30, 11, 20, u'T13 125']
[2, u'tu', 13, 30, 14, 20, u'HH 305']
[2, u'th', 12, 30, 13, 20, u'HH 305']
[3, u'mo', 9, 30, 10, 20, u'HSC 1A4']
[1, u'mo', 8, 30, 9, 20, u'T13 127']
[1, u'we', 8, 30, 9, 20, u'T13 127']
[1, u'fr', 10, 30, 11, 20, u'T13 127']
[1, u'mo', 17, 30, 18, 20, u'T13 127']
[1, u'we', 17, 30, 18, 20, u'T13 127']
[2, u'mo', 11, 30, 12, 20, u'BSB 117']
[2, u'we', 11, 30, 12, 20, u'BSB 117']
[2, u'fr', 13, 30, 14, 20, u'BSB 117']
[1, u'mo', 17, 30, 18, 20, u'KTH 109']
[1, u'th', 17, 30, 18, 20, u'KTH 109']
[1, u'tu', 15, 30, 17, 20, u'PC 335']
[1, u'th', 15, 30, 16, 20, u'PC 335']
